Rodada;Data;Horário;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
12;28/07/2019;19:00;Domingo;Goiás;Atlético-MG;-;Serra Dourada;0;0;GO;MG;-
12;28/07/2019;11:00;Domingo;Chapecoense;Bahia;-;Arena Condá;0;0;SC;BA;-
12;28/07/2019;19:00;Domingo;Fortaleza;Corinthians;Corinthians;Castelão;1;3;CE;SP;SP
12;28/07/2019;16:00;Domingo;Flamengo;Botafogo-RJ;Flamengo;Maracanã;3;2;RJ;RJ;RJ
12;28/07/2019;16:00;Domingo;Santos;Avaí;Santos;Vila Belmiro;3;1;SP;SC;SP
12;29/07/2019;20:00;Segunda-feira;CSA;Grêmio;-;Rei Pelé;0;0;AL;RS;-
13;03/08/2019;19:00;Sábado;Ceará;Fortaleza;Ceará;Castelão;2;1;CE;CE;CE
13;03/08/2019;19:00;Sábado;Fluminense;Internacional;Fluminense;Maracanã;2;1;RJ;RS;RJ
13;04/08/2019;19:00;Domingo;Vasco;CSA;-;Kléber Andrade;0;0;RJ;AL;-
13;04/08/2019;19:00;Domingo;Corinthians;Palmeiras;-;Arena Corinthians;1;1;SP;SP;-
13;04/08/2019;19:00;Domingo;Atlético-MG;Cruzeiro;Atlético-MG;Independência;2;0;MG;MG;MG
13;04/08/2019;16:00;Domingo;Bahia;Flamengo;Bahia;Fonte Nova;3;0;BA;RJ;BA
13;04/08/2019;16:00;Domingo;Avaí;Botafogo-RJ;Botafogo-RJ;Ressacada;0;2;SC;RJ;RJ
13;04/08/2019;11:00;Domingo;Santos;Goiás;Santos;Vila Belmiro;6;1;SP;GO;SP
13;05/08/2019;20:00;Segunda-feira;Grêmio;Chapecoense;-;Arena do Grêmio;3;3;RS;SC;-
7;07/08/2019;19:15;Quarta-feira;Corinthians;Goiás;Corinthians;Arena Corinthians;2;0;SP;GO;SP
14;10/08/2019;21:00;Sábado;Atlético-MG;Fluminense;Atlético-MG;Independência;2;1;MG;RJ;MG
14;10/08/2019;17:00;Sábado;Ceará;Chapecoense;Ceará;Castelão;4;1;CE;SC;CE
14;10/08/2019;19:00;Sábado;Flamengo;Grêmio;Flamengo;Maracanã;3;1;RJ;RS;RJ
14;10/08/2019;17:00;Sábado;São Paulo;Santos;São Paulo;Morumbi;3;2;SP;SP;SP
14;11/08/2019;16:00;Domingo;Palmeiras;Bahia;-;Allianz Parque;2;2;SP;BA;-
14;11/08/2019;11:00;Domingo;Internacional;Corinthians;-;Beira Rio;0;0;RS;SP;-
14;11/08/2019;16:00;Domingo;Avaí;Cruzeiro;-;Ressacada;2;2;SC;MG;-
14;11/08/2019;16:00;Domingo;Botafogo-RJ;Athlético-PR;Botafogo-RJ;Engenhão;2;1;RJ;PR;RJ
14;11/08/2019;19:00;Domingo;Goiás;Vasco;Vasco;Serra Dourada;0;1;GO;RJ;RJ
14;12/08/2019;20:00;Segunda-feira;CSA;Fortaleza;Fortaleza;Rei Pelé;0;2;AL;CE;CE
15;17/08/2019;21:00;Sábado;Grêmio;Palmeiras;-;Arena do Grêmio;1;1;RS;SP;-
15;17/08/2019;19:00;Sábado;Athlético-PR;Atlético-MG;Athlético-PR;Arena da Baixada;1;0;PR;MG;PR
15;17/08/2019;17:00;Sábado;Corinthians;Botafogo-RJ;Corinthians;Arena Corinthians;2;0;SP;RJ;SP
15;17/08/2019;19:00;Sábado;Vasco;Flamengo;Flamengo;Mané Garrincha;1;4;RJ;RJ;RJ
15;17/08/2019;17:00;Sábado;Fortaleza;Internacional;Internacional;Castelão;0;1;CE;RS;RS
15;18/08/2019;16:00;Domingo;Bahia;Goiás;-;Fonte Nova;1;1;BA;GO;-
15;18/08/2019;19:00;Domingo;Chapecoense;Avaí;Chapecoense;Arena Condá;1;0;SC;SC;SC
15;18/08/2019;16:00;Domingo;Cruzeiro;Santos;Cruzeiro;Mineirão;2;0;MG;SP;MG
15;18/08/2019;16:00;Domingo;Fluminense;CSA;CSA;Maracanã;0;1;RJ;AL;AL
15;18/08/2019;16:00;Domingo;São Paulo;Ceará;São Paulo;Morumbi;1;0;SP;CE;SP
13;21/08/2019;19:15;Quarta-feira;Athlético-PR;São Paulo;São Paulo;Arena da Baixada;0;1;PR;SP;SP
16;24/08/2019;11:00;Sábado;Atlético-MG;Bahia;Bahia;Independência;0;1;MG;BA;BA
16;24/08/2019;17:00;Sábado;Grêmio;Athlético-PR;Grêmio;Arena do Grêmio;2;1;RS;PR;RS
16;25/08/2019;19:00;Domingo;Avaí;Corinthians;-;Ressacada;1;1;SC;SP;-
16;25/08/2019;19:00;Domingo;CSA;Cruzeiro;-;Rei Pelé;1;1;AL;MG;-
16;25/08/2019;16:00;Domingo;Santos;Fortaleza;-;Vila Belmiro;3;3;SP;CE;-
16;25/08/2019;19:00;Domingo;Ceará;Flamengo;Flamengo;Castelão;0;3;CE;RJ;RJ
16;25/08/2019;16:00;Domingo;Goiás;Internacional;Goiás;Serra Dourada;2;1;GO;RS;GO
16;25/08/2019;16:00;Domingo;Vasco;São Paulo;Vasco;São Januário;2;0;RJ;SP;RJ
16;26/08/2019;20:00;Segunda-feira;Botafogo-RJ;Chapecoense;-;Engenhão;0;0;RJ;SC;-
17;31/08/2019;11:00;Sábado;São Paulo;Grêmio;-;Morumbi;0;0;SP;RS;-
17;31/08/2019;19:00;Sábado;Athlético-PR;Ceará;Athlético-PR;Arena da Baixada;1;0;PR;CE;PR
17;31/08/2019;17:00;Sábado;Bahia;CSA;Bahia;Fonte Nova;1;0;BA;AL;BA
17;31/08/2019;21:00;Sábado;Internacional;Botafogo-RJ;Internacional;Beira Rio;3;2;RS;RJ;RS
17;31/08/2019;19:00;Sábado;Chapecoense;Santos;Santos;Arena Condá;0;1;SC;SP;SP
17;01/09/2019;19:00;Domingo;Corinthians;Atlético-MG;Corinthians;Arena Corinthians;1;0;SP;MG;SP
17;01/09/2019;19:00;Domingo;Cruzeiro;Vasco;Cruzeiro;Mineirão;1;0;MG;RJ;MG
17;01/09/2019;16:00;Domingo;Flamengo;Palmeiras;Flamengo;Maracanã;3;0;RJ;SP;RJ
17;01/09/2019;16:00;Domingo;Fortaleza;Goiás;Fortaleza;Castelão;2;0;CE;GO;CE
17;02/09/2019;20:00;Segunda-feira;Fluminense;Avaí;Avaí;Maracanã;0;1;RJ;SC;SC
18;07/09/2019;11:00;Sábado;Corinthians;Ceará;-;Arena Corinthians;2;2;SP;CE;-
18;07/09/2019;11:00;Sábado;Vasco;Bahia;Bahia;São Januário;0;2;RJ;BA;BA
18;07/09/2019;17:00;Sábado;Avaí;Flamengo;Flamengo;Mané Garrincha;0;3;SC;RJ;RJ
18;07/09/2019;17:00;Sábado;Fortaleza;Fluminense;Fluminense;Castelão;0;1;CE;RJ;RJ
18;07/09/2019;19:00;Sábado;Internacional;São Paulo;Internacional;Beira Rio;1;0;RS;SP;RS
18;07/09/2019;21:00;Sábado;Goiás;Palmeiras;Palmeiras;Serra Dourada;1;2;GO;SP;SP
18;08/09/2019;16:00;Domingo;Santos;Athlético-PR;-;Vila Belmiro;1;1;SP;PR;-
18;08/09/2019;16:00;Domingo;Botafogo-RJ;Atlético-MG;Botafogo-RJ;Engenhão;2;1;RJ;MG;RJ
18;08/09/2019;19:00;Domingo;CSA;Chapecoense;CSA;Rei Pelé;2;0;AL;SC;AL
18;08/09/2019;11:00;Domingo;Cruzeiro;Grêmio;Grêmio;Independência;1;4;MG;RS;RS
16;10/09/2019;21:00;Terça-feira;Palmeiras;Fluminense;Palmeiras;Allianz Parque;3;0;SP;RJ;SP
19;14/09/2019;21:00;Sábado;Ceará;Botafogo-RJ;-;Castelão;0;0;CE;RJ;-
19;14/09/2019;17:00;Sábado;Flamengo;Santos;Flamengo;Maracanã;1;0;RJ;SP;RJ
19;14/09/2019;19:00;Sábado;Palmeiras;Cruzeiro;Palmeiras;Allianz Parque;1;0;SP;MG;SP
19;14/09/2019;19:00;Sábado;Chapecoense;Vasco;Vasco;Arena Condá;1;2;SC;RJ;RJ
19;15/09/2019;19:00;Domingo;São Paulo;CSA;-;Morumbi;1;1;SP;AL;-
19;15/09/2019;16:00;Domingo;Bahia;Fortaleza;-;Fonte Nova;1;1;BA;CE;-
19;15/09/2019;11:00;Domingo;Athlético-PR;Avaí;Avaí;Arena da Baixada;0;1;PR;SC;SC
19;15/09/2019;16:00;Domingo;Fluminense;Corinthians;Fluminense;Mané Garrincha;1;0;RJ;SP;RJ
19;15/09/2019;16:00;Domingo;Grêmio;Goiás;Grêmio;Arena do Grêmio;3;0;RS;GO;RS
19;15/09/2019;11:00;Domingo;Atlético-MG;Internacional;Internacional;Independência;1;3;MG;RS;RS
20;21/09/2019;19:00;Sábado;Corinthians;Bahia;Corinthians;Arena Corinthians;2;1;SP;BA;SP
20;21/09/2019;17:00;Sábado;Cruzeiro;Flamengo;Flamengo;Mineirão;1;2;MG;RJ;RJ
20;21/09/2019;21:00;Sábado;Santos;Grêmio;Grêmio;Vila Belmiro;0;3;SP;RS;RS
20;21/09/2019;11:00;Sábado;Botafogo-RJ;São Paulo;São Paulo;Engenhão;1;2;RJ;SP;SP
20;22/09/2019;16:00;Domingo;Vasco;Athlético-PR;-;São Januário;1;1;RJ;PR;-
20;22/09/2019;16:00;Domingo;CSA;Ceará;CSA;Rei Pelé;1;0;AL;CE;AL
20;22/09/2019;19:00;Domingo;Goiás;Fluminense;Goiás;Serra Dourada;3;0;GO;RJ;GO
20;22/09/2019;11:00;Domingo;Internacional;Chapecoense;Internacional;Beira Rio;1;0;RS;SC;RS
20;22/09/2019;16:00;Domingo;Fortaleza;Palmeiras;Palmeiras;Castelão;0;1;CE;SP;SP
20;23/09/2019;20:00;Segunda-feira;Avaí;Atlético-MG;Avaí;Ressacada;1;0;SC;MG;SC
21;25/09/2019;19:30;Quarta-feira;Ceará;Cruzeiro;-;Castelão;0;0;CE;MG;-
